Z,N,A,actual_binding_energy_per_A_keV,uam_v4_prediction_keV_per_A,frdm2012_prediction_keV_per_A,uam_v4_residual_keV_per_A,frdm2012_residual_keV_per_A,uam_v4_absolute_residual_keV_per_A,frdm2012_absolute_residual_keV_per_A,lower_error_model
92,147,239,7558.5624,7558.57501063996,7558.744769874477,0.012610639960257686,0.18236987447744468,0.012610639960257686,0.18236987447744468,UAM_V4
92,148,240,7551.7705,7551.025815980683,7552.583333333333,-0.7446840193169919,0.8128333333334012,0.7446840193169919,0.8128333333334012,UAM_V4
92,149,241,7539.0,7538.2543937952505,7540.3734439834025,-0.7456062047494925,1.373443983402467,0.7456062047494925,1.373443983402467,UAM_V4
92,150,242,7532.0,7533.199963397219,7533.099173553719,1.1999633972191077,1.0991735537190834,1.1999633972191077,1.0991735537190834,FRDM2012
92,151,243,7518.0,7519.4376,7520.082304526749,1.4376000000002023,2.082304526748885,1.4376000000002023,2.082304526748885,UAM_V4
93,126,219,7604.6732,7606.4346,7607.214611872146,1.761399999999412,2.541411872145545,1.761399999999412,2.541411872145545,UAM_V4
93,127,220,7602.0758,7601.980105572113,7604.318181818182,-0.0956944278868832,2.2423818181823663,0.0956944278868832,2.2423818181823663,UAM_V4
93,128,221,7607.0,7606.179582945231,7607.918552036199,-0.8204170547687681,0.9185520361988893,0.8204170547687681,0.9185520361988893,UAM_V4
93,129,222,7602.7013,7602.846355157875,7606.126126126126,0.14505515787550394,3.4248261261263906,0.14505515787550394,3.4248261261263906,UAM_V4
93,130,223,7607.5654,7607.634546509139,7609.461883408072,0.06914650913859077,1.8964834080716173,0.06914650913859077,1.8964834080716173,UAM_V4
93,131,224,7603.5032,7603.578664178668,7606.875,0.07546417866797128,3.3717999999998938,0.07546417866797128,3.3717999999998938,UAM_V4
93,132,225,7607.4231,7607.739597946603,7609.111111111111,0.3164979466027944,1.6880111111113365,0.3164979466027944,1.6880111111113365,UAM_V4
93,133,226,7604.1714,7604.264237839177,7606.150442477876,0.09283783917726396,1.979042477875737,0.09283783917726396,1.979042477875737,UAM_V4
93,134,227,7607.2771,7607.337185435273,7607.797356828194,0.060085435272412724,0.5202568281938511,0.060085435272412724,0.5202568281938511,UAM_V4
93,135,228,7604.0,7603.887731916359,7603.640350877193,-0.1122680836406289,-0.35964912280724093,0.1122680836406289,0.35964912280724093,UAM_V4
93,136,229,7605.9921,7605.681512217977,7605.152838427947,-0.3105877820235037,-0.8392615720531467,0.3105877820235037,0.8392615720531467,UAM_V4
93,137,230,7601.7751,7601.705297992645,7600.608695652174,-0.06980200735506514,-1.1664043478258463,0.06980200735506514,1.1664043478258463,UAM_V4
93,138,231,7602.1321,7602.4012735077995,7600.69264069264,0.2691735077996782,-1.439459307359357,0.2691735077996782,1.439459307359357,UAM_V4
93,139,232,7597.0,7597.078701476212,7595.086206896552,0.07870147621179058,-1.91379310344837,0.07870147621179058,1.91379310344837,UAM_V4
93,140,233,7596.1816,7595.9698950159645,7594.163090128755,-0.2117049840353502,-2.0185098712445324,0.2117049840353502,2.0185098712445324,UAM_V4
93,141,234,7589.6382,7589.483638809195,7587.863247863248,-0.15456119080499775,-1.7749521367522902,0.15456119080499775,1.7749521367522902,UAM_V4
93,142,235,7587.0571,7587.0047536043485,7585.702127659574,-0.05234639565151156,-1.3549723404257747,0.05234639565151156,1.3549723404257747,UAM_V4
93,143,236,7579.2148,7579.383318504999,7577.542372881356,0.168518504999156,-1.6724271186440092,0.168518504999156,1.6724271186440092,UAM_V4
93,144,237,7574.9895,7575.053491366055,7573.881856540084,0.06399136605523381,-1.10764345991538,0.06399136605523381,1.10764345991538,UAM_V4
93,145,238,7566.222,7565.759679109498,7564.747899159664,-0.4623208905013598,-1.4741008403361775,0.4623208905013598,1.4741008403361775,UAM_V4
93,146,239,7560.568,7560.519599763244,7560.0,-0.04840023675660632,-0.568000000000211,0.04840023675660632,0.568000000000211,UAM_V4
93,147,240,7550.1743,7550.887571112865,7550.375,0.7132711128651863,0.2007000000003245,0.7132711128651863,0.2007000000003245,FRDM2012
93,148,241,7544.0426,7544.221189281872,7544.398340248963,0.17858928187251877,0.35574024896322953,0.17858928187251877,0.35574024896322953,UAM_V4
93,149,242,7533.4042,7532.1281794779925,7533.760330578512,-1.2760205220074567,0.35613057851242047,1.2760205220074567,0.35613057851242047,FRDM2012
93,150,243,7526.0,7525.068830570288,7526.707818930041,-0.9311694297120994,0.7078189300409576,0.9311694297120994,0.7078189300409576,FRDM2012
93,151,244,7514.0,7516.6008436636275,7515.450819672131,2.600843663627529,1.4508196721308195,2.600843663627529,1.4508196721308195,FRDM2012
93,152,245,7506.0,7507.9574,7507.183673469388,1.9574000000002343,1.1836734693879407,1.9574000000002343,1.1836734693879407,FRDM2012
94,127,221,7576.0,7577.0,7578.41628959276,1.0,2.416289592760222,1.0,2.416289592760222,UAM_V4
94,128,222,7582.0,7583.866883680347,7583.783783783784,1.8668836803472004,1.7837837837842017,1.8668836803472004,1.7837837837842017,FRDM2012
94,129,223,7580.0,7579.418523864548,7581.973094170404,-0.5814761354522489,1.9730941704037832,0.5814761354522489,1.9730941704037832,UAM_V4
94,130,224,7586.0,7584.925360021408,7587.098214285715,-1.0746399785921312,1.0982142857146755,1.0746399785921312,1.0982142857146755,UAM_V4
94,131,225,7583.0,7582.836806754087,7584.666666666667,-0.1631932459131349,1.6666666666669698,0.1631932459131349,1.6666666666669698,UAM_V4
94,132,226,7588.0,7588.750048183921,7588.849557522124,0.7500481839206259,0.849557522124087,0.7500481839206259,0.849557522124087,UAM_V4
94,133,227,7585.0,7585.386798427576,7586.255506607929,0.3867984275757408,1.2555066079294193,0.3867984275757408,1.2555066079294193,UAM_V4
94,134,228,7590.4039,7590.154000436268,7589.517543859649,-0.2498995637324697,-0.8863561403513813,0.2498995637324697,0.8863561403513813,UAM_V4
94,135,229,7586.8834,7586.941624251779,7586.069868995633,0.058224251779392944,-0.8135310043662685,0.058224251779392944,0.8135310043662685,UAM_V4
94,136,230,7591.0016,7590.815221311328,7589.652173913043,-0.18637868867153884,-1.349426086956555,0.18637868867153884,1.349426086956555,UAM_V4
